,MALE,FEMALE,INTERSEX,TOTAL,# OF HSEHOLDS,AVG HSEHOLD SIZE,Land Area (Sq. Km),Population Density (No. per Sq. Km),County,Subcounty
0,68761,63121,0,131882,46614,2.8,17.7,7457,MOMBASA,Changamwe
1,83002,80410,3,163415,53472,3.0,36.9,4432,MOMBASA,Jomvu
2,146748,145176,6,291930,88202,3.3,87.7,3328,MOMBASA,Kisauni
3,126962,123392,4,250358,81191,3.1,40.5,6187,MOMBASA,Likoni
4,75565,78601,5,154171,38995,3.8,14.6,10543,MOMBASA,Mvita
5,109219,107346,12,216577,69948,3.1,22.5,9610,MOMBASA,Nyali
6,45413,48806,1,94220,16043,5.8,1614.0,58,KWALE,Kinango
7,97174,101245,4,198423,37366,5.3,2765.2,72,KWALE,Lungalunga
8,95831,98419,2,194252,39231,4.9,1032.4,188,KWALE,Matuga
9,89206,88480,4,177690,45466,3.8,411.7,432,KWALE,Msambweni
10,97497,104731,7,202235,35070,5.7,2443.7,83,KWALE,SamburuKwale
11,29527,32807,1,62335,11421,5.5,192.6,324,KILIFI,Chonyi
12,66921,76981,4,143906,23258,6.2,3204.4,45,KILIFI,Ganze
13,92614,101063,5,193682,36355,5.3,706.1,274,KILIFI,Kaloleni
14,10965,11673,0,22638,3479,6.5,181.4,125,KILIFI,Kauma
15,86986,91836,2,178824,39512,4.5,264.4,676,KILIFI,Kilifi North
16,101852,104897,4,206753,53074,3.8,290.5,712,KILIFI,Kilifi South
17,93302,98308,0,191610,33017,5.8,5229.4,37,KILIFI,Magarini
18,163351,169866,9,333226,73547,4.4,2263.3,147,KILIFI,Malindi
19,58571,62242,0,120813,24809,4.9,207.8,581,KILIFI,Rabai
20,55716,54924,0,110640,22791,4.8,15478.7,7,TANA RIVER,Tana North
21,59123,57632,2,116757,26886,4.3,13306.1,9,TANA RIVER,Tana Delta
22,43711,44835,0,88546,18565,4.7,9165.6,10,TANA RIVER,Tana River
23,11675,10583,0,22258,5090,4.4,2336.7,10,LAMU,Lamu East
24,64428,57230,4,121662,32873,3.6,3916.6,31,LAMU,Lamu West
25,41426,40231,2,81659,23698,3.4,2722.6,30,TAITA TAVETA,Mwatate
26,28386,27573,0,55959,15094,3.7,477.9,117,TAITA TAVETA,Taita
27,47410,43812,0,91222,24115,3.7,6398.7,14,TAITA TAVETA,Taveta
28,56115,55711,5,111831,33522,3.3,7552.8,15,TAITA TAVETA,Voi
29,20277,11979,1,32257,4337,7.3,3684.1,9,GARISSA,Balambala
30,99059,86185,8,185252,35793,5.1,6479.8,29,GARISSA,Dadaab
31,72617,61413,10,134040,23671,5.6,15072.9,9,GARISSA,Fafi
32,83460,80449,5,163914,30518,5.3,3230.7,51,GARISSA,Garissa
33,78081,55898,5,133984,20254,6.6,7733.2,17,GARISSA,Hulugho
34,80458,61129,4,141591,18481,7.7,2438.9,58,GARISSA,Ijara
